time [s],adc_buf[0],
11.6445,1896,
11.6459,2215,
11.6475,1804,
11.6495,1845,
11.6515,1728,
11.6535,1864,
11.6555,1909,
11.6575,1707,
11.6595,1787,
11.6615,1800,
11.6635,1710,
11.6655,1764,
11.6675,1742,
11.6695,1815,
11.6712,1805,
11.6729,2149,
11.6749,1672,
11.6769,1803,
11.6787,2168,
11.6809,1911,
11.6825,1806,
11.6845,1807,
11.6865,1729,
11.6885,1743,
11.6905,1742,
11.6925,1642,
11.6945,1888,
11.6969,2111,
11.6985,1983,
11.7005,1835,
11.7025,1788,
11.7045,1608,
11.7065,1812,
11.7085,2123,
11.7105,1603,
11.7125,1757,
11.7145,1781,
11.7165,1576,
11.7185,1849,
11.7205,1800,
11.7225,1670,
11.7245,1866,
11.7265,1819,
11.7285,1652,
11.7301,1788,
11.7315,2086,
11.7335,1836,
11.7355,1830,
11.7375,1643,
11.7389,1767,
11.7409,1783,
11.7429,1525,
11.7449,1799,
11.7469,1780,
11.7489,1580,
11.7509,1801,
11.7529,1726,
11.7549,1518,
11.7569,1776,
11.7585,1760,
11.7608,1701,
11.7629,1805,
11.7649,1808,
11.7669,1650,
11.7689,1840,
11.7709,1802,
11.7728,1998,
11.7749,1770,
11.7769,1794,
11.7789,1609,
11.7809,1800,
11.7829,1797,
11.7849,2068,
11.7865,1847,
11.7885,2089,
11.7905,1712,
11.7925,1798,
11.7945,1677,
11.7965,1554,
11.7982,1812,
11.8005,2050,
11.803,1855,
11.8049,2038,
11.8069,1820,
11.8089,1678,
11.8109,1758,
11.8129,1729,
11.8145,1713,
11.8165,2054,
11.8182,1801,
11.8199,2078,
11.8219,1677,
11.8239,1723,
11.8259,1734,
11.8279,1767,
11.8299,1788,
11.8319,1833,
11.8339,1848,
11.8359,1797,
11.8379,1796,
11.8399,1795,
11.8419,1730,
11.8439,1711,
11.8459,1799,
11.8479,1783,
11.8499,1772,
11.8519,1817,
11.8539,1817,
11.8555,1600,
11.8575,2051,
11.8595,1939,
11.8619,1762,
11.8637,1781,
11.8655,1759,
11.8675,1789,
11.8699,1803,
11.8719,1798,
11.8741,1656,
11.8759,2116,
11.8779,1722,
11.8799,1619,
11.8812,1744,
11.8835,1776,
11.886,1589,
11.8879,2120,
11.8899,1798,
11.8915,1681,
11.8935,1807,
11.8955,1719,
11.8975,1929,
11.8989,1806,
11.9009,1689,
11.9025,1836,
11.9045,2055,
11.9065,1817,
11.9085,2058,
11.9105,1779,
11.9125,1500,
11.9142,2098,
11.9165,1774,
11.919,1714,
11.9209,2094,
11.9228,2058,
11.9249,1783,
11.9269,1764,
11.9289,1645,
11.9308,1730,
11.9325,1733,
