time [s],adc_buf[0],
2.04213,2037,
2.04356,2042,
2.04491,2045,
2.04658,2042,
2.04856,2037,
2.05056,2043,
2.05256,2043,
2.05456,2030,
2.05658,2039,
2.05858,2042,
2.06017,2042,
2.06181,2042,
2.06415,2041,
2.06658,2040,
2.06858,2042,
2.07056,2040,
2.07215,2037,
2.07414,2037,
2.07621,2031,
2.07817,2037,
2.08014,2044,
2.08214,2042,
2.08419,2039,
2.08615,2036,
2.08814,2043,
2.09014,2038,
2.09216,2033,
2.09414,2062,
2.09619,2039,
2.09831,2037,
2.0999,2036,
2.10214,2039,
2.10413,2036,
2.10588,2041,
2.10757,2041,
2.10941,2043,
2.11156,2045,
2.11314,2043,
2.11515,2044,
2.11699,2036,
2.11916,2039,
2.12116,2043,
2.12256,2041,
2.12459,2046,
2.12664,2039,
2.1286,2035,
2.12999,2039,
2.13215,2039,
2.13414,2046,
2.13615,2048,
2.13814,2039,
2.13974,2043,
2.14163,2043,
2.14389,2037,
2.14615,2040,
2.14814,2038,
2.15014,2039,
2.15214,2039,
2.15357,2042,
2.15556,2040,
2.15758,2046,
2.15956,2039,
2.16156,2040,
2.16359,2038,
2.16556,2040,
2.16756,2044,
2.1696,2039,
2.17157,2044,
2.17358,2041,
2.17556,2041,
2.17758,2042,
2.17956,2037,
2.18157,2043,
2.18356,2040,
2.18558,2030,
2.18756,2045,
2.1892,2038,
2.19115,2038,
2.19314,2042,
2.19514,2038,
2.19714,2039,
2.19917,2043,
2.20114,2047,
2.20355,2037,
2.20545,2040,
2.20675,2043,
2.20816,2043,
2.21014,2042,
2.21218,2036,
2.21356,2041,
2.21557,2041,
2.21756,2035,
2.21956,2060,
2.22157,2039,
2.22317,2032,
2.22557,2039,
2.22738,2048,
2.22956,2041,
2.23157,2036,
2.23357,2032,
2.23515,2033,
2.23714,2033,
2.23915,2039,
2.24115,2041,
2.24314,2044,
2.24516,2046,
2.24716,2042,
2.24887,2040,
2.25114,2037,
2.25316,2037,
2.25516,2042,
2.25716,2041,
2.25915,2039,
2.26056,2039,
2.26256,2042,
