time [s],filter_volt,
11.6445,1.44561,
11.6459,1.44709,
11.6475,1.44326,
11.6495,1.4436,
11.6515,1.44014,
11.6535,1.43481,
11.6555,1.43426,
11.6575,1.43003,
11.6595,1.42478,
11.6615,1.42457,
11.6635,1.41972,
11.6655,1.41666,
11.6675,1.41561,
11.6695,1.41365,
11.6712,1.41041,
11.6729,1.41063,
11.6749,1.40793,
11.6769,1.40697,
11.6787,1.40981,
11.6809,1.40675,
11.6825,1.40449,
11.6845,1.40672,
11.6865,1.40429,
11.6885,1.4022,
11.6905,1.40178,
11.6925,1.39872,
11.6945,1.39734,
11.6969,1.39869,
11.6985,1.39245,
11.7005,1.3919,
11.7025,1.39187,
11.7045,1.39025,
11.7065,1.38897,
11.7085,1.38788,
11.7105,1.38795,
11.7125,1.3864,
11.7145,1.38821,
11.7165,1.38545,
11.7185,1.38331,
11.7205,1.38594,
11.7225,1.3869,
11.7245,1.38643,
11.7265,1.38859,
11.7285,1.3888,
11.7301,1.38797,
11.7315,1.38901,
11.7335,1.38674,
11.7355,1.38804,
11.7375,1.38591,
11.7389,1.38424,
11.7409,1.38275,
11.7429,1.37834,
11.7449,1.37766,
11.7469,1.37903,
11.7489,1.37665,
11.7509,1.37459,
11.7529,1.37629,
11.7549,1.37425,
11.7569,1.37387,
11.7585,1.37515,
11.7608,1.3759,
11.7629,1.37664,
11.7649,1.37778,
11.7669,1.37835,
11.7689,1.37683,
11.7709,1.37785,
11.7728,1.37573,
11.7749,1.37628,
11.7769,1.38166,
11.7789,1.38121,
11.7809,1.38055,
11.7829,1.38317,
11.7849,1.38396,
11.7865,1.38398,
11.7885,1.3832,
11.7905,1.38128,
11.7925,1.38087,
11.7945,1.38242,
11.7965,1.37669,
11.7982,1.37611,
11.8005,1.37874,
11.803,1.37728,
11.8049,1.37442,
11.8069,1.37637,
11.8089,1.37421,
11.8109,1.37325,
11.8129,1.37546,
11.8145,1.37183,
11.8165,1.3716,
11.8182,1.37333,
11.8199,1.37367,
11.8219,1.37447,
11.8239,1.37345,
11.8259,1.37336,
11.8279,1.37457,
11.8299,1.37667,
11.8319,1.37566,
11.8339,1.3777,
11.8359,1.3787,
11.8379,1.37889,
11.8399,1.37931,
11.8419,1.37936,
11.8439,1.37778,
11.8459,1.37704,
11.8479,1.37861,
11.8499,1.37488,
11.8519,1.37521,
11.8539,1.37671,
11.8555,1.37295,
11.8575,1.37643,
11.8595,1.37187,
11.8619,1.37051,
11.8637,1.3698,
11.8655,1.36999,
11.8675,1.36907,
11.8699,1.36888,
11.8719,1.37045,
11.8741,1.37211,
11.8759,1.37083,
11.8779,1.37171,
11.8799,1.37221,
11.8812,1.37263,
11.8835,1.37284,
11.886,1.37432,
11.8879,1.37506,
11.8899,1.37843,
11.8915,1.3776,
11.8935,1.37994,
11.8955,1.38161,
11.8975,1.38049,
11.8989,1.38234,
11.9009,1.38117,
11.9025,1.37743,
11.9045,1.37883,
11.9065,1.37795,
11.9085,1.37712,
11.9105,1.37922,
11.9125,1.3747,
11.9142,1.37401,
11.9165,1.3752,
11.919,1.37348,
