time [s],filter_volt,voltage,
11.6445,1.44561,1.41857,
11.6459,1.44709,1.35164,
11.6475,1.44326,1.40766,
11.6495,1.4436,1.54879,
11.6515,1.44014,1.54806,
11.6535,1.43481,1.31818,
11.6555,1.43426,1.55097,
11.6575,1.43003,1.52987,
11.6595,1.42478,1.36983,
11.6615,1.42457,1.56407,
11.6635,1.41972,1.55606,
11.6655,1.41666,1.41202,
11.6675,1.41561,1.51023,
11.6695,1.41365,1.54079,
11.6712,1.41041,1.42803,
11.6729,1.41063,1.50369,
11.6749,1.40793,1.50805,
11.6769,1.40697,1.46149,
11.6787,1.40981,1.54806,
11.6809,1.40675,1.5015,
11.6825,1.40449,1.4193,
11.6845,1.40672,1.55897,
11.6865,1.40429,1.50587,
11.6885,1.4022,1.52624,
11.6905,1.40178,1.52478,
11.6925,1.39872,1.50587,
11.6945,1.39734,1.50296,
11.6969,1.39869,1.31382,
11.6985,1.39245,1.50369,
11.7005,1.3919,1.47531,
11.7025,1.39187,1.48623,
11.7045,1.39025,1.49423,
11.7065,1.38897,1.52187,
11.7085,1.38788,1.49423,
11.7105,1.38795,1.55752,
11.7125,1.3864,1.49859,
11.7145,1.38821,1.48186,
11.7165,1.38545,1.42948,
11.7185,1.38331,1.42948,
11.7205,1.38594,1.49423,
11.7225,1.3869,1.51387,
11.7245,1.38643,1.3822,
11.7265,1.38859,1.53424,
11.7285,1.3888,1.52551,
11.7301,1.38797,1.44112,
11.7315,1.38901,1.51533,
11.7335,1.38674,1.29345,
11.7355,1.38804,1.53715,
11.7375,1.38591,1.51605,
11.7389,1.38424,1.20688,
11.7409,1.38275,1.22652,
11.7429,1.37834,1.41639,
11.7449,1.37766,1.47531,
11.7469,1.37903,1.50078,
11.7489,1.37665,1.48259,
11.7509,1.37459,1.49059,
11.7529,1.37629,1.50369,
11.7549,1.37425,1.50296,
11.7569,1.37387,1.52478,
11.7585,1.37515,1.58225,
11.7608,1.3759,1.3822,
11.7629,1.37664,1.58007,
11.7649,1.37778,1.45931,
11.7669,1.37835,1.50878,
11.7689,1.37683,1.41421,
11.7709,1.37785,1.48041,
11.7728,1.37573,1.53715,
11.7749,1.37628,1.45713,
11.7769,1.38166,1.57134,
11.7789,1.38121,1.49059,
11.7809,1.38055,1.39602,
11.7829,1.38317,1.31236,
11.7849,1.38396,1.51169,
11.7865,1.38398,1.52551,
11.7885,1.3832,1.53278,
11.7905,1.38128,1.46076,
11.7925,1.38087,1.50587,
11.7945,1.38242,1.49859,
11.7965,1.37669,1.41712,
11.7982,1.37611,1.47459,
11.8005,1.37874,1.50296,
11.803,1.37728,1.5146,
11.8049,1.37442,1.05629,
11.8069,1.37637,1.51896,
11.8089,1.37421,1.49496,
11.8109,1.37325,1.38584,
11.8129,1.37546,1.55024,
11.8145,1.37183,1.52987,
11.8165,1.3716,1.49059,
11.8182,1.37333,1.46004,
11.8199,1.37367,1.45858,
11.8219,1.37447,1.54297,
11.8239,1.37345,1.54879,
